month,asset_id,variance_type,variance_driver,variance_eur,commentary
2025-08-01,A005,Timing/Mix,Groningen Hydrogen Pilot E - Timing/Mix,-5694,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-09-01,A001,Price,Noordzee Wind A - Price,-259280,Actual realized price versus budgeted realized price.
2025-09-01,A001,Volume,Noordzee Wind A - Volume,-3685,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-09-01,A001,Downtime,Noordzee Wind A - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-09-01,A001,Ramp-up,Noordzee Wind A - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-09-01,A001,Opex,Noordzee Wind A - Opex,-90913,Direct operating cost variance; negative values are adverse.
2025-09-01,A001,Timing/Mix,Noordzee Wind A - Timing/Mix,-5870,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-09-01,A002,Price,Flevoland Solar B - Price,-6405,Actual realized price versus budgeted realized price.
2025-09-01,A002,Volume,Flevoland Solar B - Volume,-5965,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-09-01,A002,Downtime,Flevoland Solar B - Downtime,-3107,Estimated EBITDA impact from unplanned downtime above budget.
2025-09-01,A002,Ramp-up,Flevoland Solar B - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-09-01,A002,Opex,Flevoland Solar B - Opex,-3068,Direct operating cost variance; negative values are adverse.
2025-09-01,A002,Timing/Mix,Flevoland Solar B - Timing/Mix,-1034,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-09-01,A003,Price,Brabant Solar C - Price,-4790,Actual realized price versus budgeted realized price.
2025-09-01,A003,Volume,Brabant Solar C - Volume,125,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-09-01,A003,Downtime,Brabant Solar C - Downtime,-1740,Estimated EBITDA impact from unplanned downtime above budget.
2025-09-01,A003,Ramp-up,Brabant Solar C - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-09-01,A003,Opex,Brabant Solar C - Opex,-2801,Direct operating cost variance; negative values are adverse.
2025-09-01,A003,Timing/Mix,Brabant Solar C - Timing/Mix,-734,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-09-01,A004,Price,Rotterdam Battery D - Price,23352,Actual realized price versus budgeted realized price.
2025-09-01,A004,Volume,Rotterdam Battery D - Volume,-4996,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-09-01,A004,Downtime,Rotterdam Battery D - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-09-01,A004,Ramp-up,Rotterdam Battery D - Ramp-up,-11658,Battery storage throughput reflects operational ramp-up and dispatch optimization.
2025-09-01,A004,Opex,Rotterdam Battery D - Opex,-28958,Direct operating cost variance; negative values are adverse.
2025-09-01,A004,Timing/Mix,Rotterdam Battery D - Timing/Mix,-2657,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-09-01,A005,Price,Groningen Hydrogen Pilot E - Price,-4169,Actual realized price versus budgeted realized price.
2025-09-01,A005,Volume,Groningen Hydrogen Pilot E - Volume,-59242,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-09-01,A005,Downtime,Groningen Hydrogen Pilot E - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-09-01,A005,Ramp-up,Groningen Hydrogen Pilot E - Ramp-up,-138231,Hydrogen pilot ramp-up behind budgeted production curve.
2025-09-01,A005,Opex,Groningen Hydrogen Pilot E - Opex,-177464,Direct operating cost variance; negative values are adverse.
2025-09-01,A005,Timing/Mix,Groningen Hydrogen Pilot E - Timing/Mix,-5693,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-10-01,A001,Price,Noordzee Wind A - Price,-379436,Actual realized price versus budgeted realized price.
2025-10-01,A001,Volume,Noordzee Wind A - Volume,-160859,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-10-01,A001,Downtime,Noordzee Wind A - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-10-01,A001,Ramp-up,Noordzee Wind A - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-10-01,A001,Opex,Noordzee Wind A - Opex,-62821,Direct operating cost variance; negative values are adverse.
2025-10-01,A001,Timing/Mix,Noordzee Wind A - Timing/Mix,-6027,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-10-01,A002,Price,Flevoland Solar B - Price,-10907,Actual realized price versus budgeted realized price.
2025-10-01,A002,Volume,Flevoland Solar B - Volume,-3127,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-10-01,A002,Downtime,Flevoland Solar B - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-10-01,A002,Ramp-up,Flevoland Solar B - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-10-01,A002,Opex,Flevoland Solar B - Opex,-4628,Direct operating cost variance; negative values are adverse.
2025-10-01,A002,Timing/Mix,Flevoland Solar B - Timing/Mix,-1029,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-10-01,A003,Price,Brabant Solar C - Price,4761,Actual realized price versus budgeted realized price.
2025-10-01,A003,Volume,Brabant Solar C - Volume,-7350,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-10-01,A003,Downtime,Brabant Solar C - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-10-01,A003,Ramp-up,Brabant Solar C - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-10-01,A003,Opex,Brabant Solar C - Opex,-2569,Direct operating cost variance; negative values are adverse.
2025-10-01,A003,Timing/Mix,Brabant Solar C - Timing/Mix,-758,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-10-01,A004,Price,Rotterdam Battery D - Price,48813,Actual realized price versus budgeted realized price.
2025-10-01,A004,Volume,Rotterdam Battery D - Volume,3071,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-10-01,A004,Downtime,Rotterdam Battery D - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-10-01,A004,Ramp-up,Rotterdam Battery D - Ramp-up,7167,Battery storage throughput reflects operational ramp-up and dispatch optimization.
2025-10-01,A004,Opex,Rotterdam Battery D - Opex,-29124,Direct operating cost variance; negative values are adverse.
2025-10-01,A004,Timing/Mix,Rotterdam Battery D - Timing/Mix,-2633,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-10-01,A005,Price,Groningen Hydrogen Pilot E - Price,-2819,Actual realized price versus budgeted realized price.
2025-10-01,A005,Volume,Groningen Hydrogen Pilot E - Volume,-64605,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-10-01,A005,Downtime,Groningen Hydrogen Pilot E - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-10-01,A005,Ramp-up,Groningen Hydrogen Pilot E - Ramp-up,-150745,Hydrogen pilot ramp-up behind budgeted production curve.
2025-10-01,A005,Opex,Groningen Hydrogen Pilot E - Opex,-182054,Direct operating cost variance; negative values are adverse.
2025-10-01,A005,Timing/Mix,Groningen Hydrogen Pilot E - Timing/Mix,-5710,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-11-01,A001,Price,Noordzee Wind A - Price,-590639,Actual realized price versus budgeted realized price.
2025-11-01,A001,Volume,Noordzee Wind A - Volume,-196749,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-11-01,A001,Downtime,Noordzee Wind A - Downtime,-265779,Wind availability below budget due to unplanned maintenance/outage hours.
2025-11-01,A001,Ramp-up,Noordzee Wind A - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-11-01,A001,Opex,Noordzee Wind A - Opex,-224318,Direct operating cost variance; negative values are adverse.
2025-11-01,A001,Timing/Mix,Noordzee Wind A - Timing/Mix,-6039,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-11-01,A002,Price,Flevoland Solar B - Price,516,Actual realized price versus budgeted realized price.
2025-11-01,A002,Volume,Flevoland Solar B - Volume,-1836,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-11-01,A002,Downtime,Flevoland Solar B - Downtime,-1566,Estimated EBITDA impact from unplanned downtime above budget.
2025-11-01,A002,Ramp-up,Flevoland Solar B - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-11-01,A002,Opex,Flevoland Solar B - Opex,-3706,Direct operating cost variance; negative values are adverse.
2025-11-01,A002,Timing/Mix,Flevoland Solar B - Timing/Mix,-1058,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-11-01,A003,Price,Brabant Solar C - Price,-3421,Actual realized price versus budgeted realized price.
2025-11-01,A003,Volume,Brabant Solar C - Volume,-3068,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-11-01,A003,Downtime,Brabant Solar C - Downtime,-877,Estimated EBITDA impact from unplanned downtime above budget.
2025-11-01,A003,Ramp-up,Brabant Solar C - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-11-01,A003,Opex,Brabant Solar C - Opex,-2659,Direct operating cost variance; negative values are adverse.
2025-11-01,A003,Timing/Mix,Brabant Solar C - Timing/Mix,-751,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-11-01,A004,Price,Rotterdam Battery D - Price,52208,Actual realized price versus budgeted realized price.
2025-11-01,A004,Volume,Rotterdam Battery D - Volume,-3436,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-11-01,A004,Downtime,Rotterdam Battery D - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-11-01,A004,Ramp-up,Rotterdam Battery D - Ramp-up,-8016,Battery storage throughput reflects operational ramp-up and dispatch optimization.
2025-11-01,A004,Opex,Rotterdam Battery D - Opex,-30018,Direct operating cost variance; negative values are adverse.
2025-11-01,A004,Timing/Mix,Rotterdam Battery D - Timing/Mix,-2573,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-11-01,A005,Price,Groningen Hydrogen Pilot E - Price,-2817,Actual realized price versus budgeted realized price.
2025-11-01,A005,Volume,Groningen Hydrogen Pilot E - Volume,-70018,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-11-01,A005,Downtime,Groningen Hydrogen Pilot E - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-11-01,A005,Ramp-up,Groningen Hydrogen Pilot E - Ramp-up,-163375,Hydrogen pilot ramp-up behind budgeted production curve.
2025-11-01,A005,Opex,Groningen Hydrogen Pilot E - Opex,-183104,Direct operating cost variance; negative values are adverse.
2025-11-01,A005,Timing/Mix,Groningen Hydrogen Pilot E - Timing/Mix,-5703,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-12-01,A001,Price,Noordzee Wind A - Price,-773729,Actual realized price versus budgeted realized price.
2025-12-01,A001,Volume,Noordzee Wind A - Volume,261602,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-12-01,A001,Downtime,Noordzee Wind A - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-12-01,A001,Ramp-up,Noordzee Wind A - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-12-01,A001,Opex,Noordzee Wind A - Opex,-64715,Direct operating cost variance; negative values are adverse.
2025-12-01,A001,Timing/Mix,Noordzee Wind A - Timing/Mix,-6300,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-12-01,A002,Price,Flevoland Solar B - Price,-6464,Actual realized price versus budgeted realized price.
2025-12-01,A002,Volume,Flevoland Solar B - Volume,7874,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-12-01,A002,Downtime,Flevoland Solar B - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-12-01,A002,Ramp-up,Flevoland Solar B - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-12-01,A002,Opex,Flevoland Solar B - Opex,-1724,Direct operating cost variance; negative values are adverse.
2025-12-01,A002,Timing/Mix,Flevoland Solar B - Timing/Mix,-1058,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-12-01,A003,Price,Brabant Solar C - Price,-5212,Actual realized price versus budgeted realized price.
2025-12-01,A003,Volume,Brabant Solar C - Volume,3106,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-12-01,A003,Downtime,Brabant Solar C - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-12-01,A003,Ramp-up,Brabant Solar C - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-12-01,A003,Opex,Brabant Solar C - Opex,-959,Direct operating cost variance; negative values are adverse.
2025-12-01,A003,Timing/Mix,Brabant Solar C - Timing/Mix,-756,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-12-01,A004,Price,Rotterdam Battery D - Price,4413,Actual realized price versus budgeted realized price.
2025-12-01,A004,Volume,Rotterdam Battery D - Volume,296,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-12-01,A004,Downtime,Rotterdam Battery D - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-12-01,A004,Ramp-up,Rotterdam Battery D - Ramp-up,690,Battery storage throughput reflects operational ramp-up and dispatch optimization.
2025-12-01,A004,Opex,Rotterdam Battery D - Opex,-30185,Direct operating cost variance; negative values are adverse.
2025-12-01,A004,Timing/Mix,Rotterdam Battery D - Timing/Mix,-2672,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-12-01,A005,Price,Groningen Hydrogen Pilot E - Price,32,Actual realized price versus budgeted realized price.
2025-12-01,A005,Volume,Groningen Hydrogen Pilot E - Volume,-74043,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-12-01,A005,Downtime,Groningen Hydrogen Pilot E - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-12-01,A005,Ramp-up,Groningen Hydrogen Pilot E - Ramp-up,-172766,Hydrogen pilot ramp-up behind budgeted production curve.
2025-12-01,A005,Opex,Groningen Hydrogen Pilot E - Opex,-187882,Direct operating cost variance; negative values are adverse.
2025-12-01,A005,Timing/Mix,Groningen Hydrogen Pilot E - Timing/Mix,-5703,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-01-01,A001,Price,Noordzee Wind A - Price,-221791,Actual realized price versus budgeted realized price.
2026-01-01,A001,Volume,Noordzee Wind A - Volume,-90391,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-01-01,A001,Downtime,Noordzee Wind A - Downtime,-31596,Estimated EBITDA impact from unplanned downtime above budget.
2026-01-01,A001,Ramp-up,Noordzee Wind A - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2026-01-01,A001,Opex,Noordzee Wind A - Opex,-70881,Direct operating cost variance; negative values are adverse.
2026-01-01,A001,Timing/Mix,Noordzee Wind A - Timing/Mix,-6251,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-01-01,A002,Price,Flevoland Solar B - Price,4263,Actual realized price versus budgeted realized price.
2026-01-01,A002,Volume,Flevoland Solar B - Volume,14392,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-01-01,A002,Downtime,Flevoland Solar B - Downtime,-670,Estimated EBITDA impact from unplanned downtime above budget.
2026-01-01,A002,Ramp-up,Flevoland Solar B - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2026-01-01,A002,Opex,Flevoland Solar B - Opex,-1392,Direct operating cost variance; negative values are adverse.
2026-01-01,A002,Timing/Mix,Flevoland Solar B - Timing/Mix,-1057,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-01-01,A003,Price,Brabant Solar C - Price,-3700,Actual realized price versus budgeted realized price.
2026-01-01,A003,Volume,Brabant Solar C - Volume,-3862,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-01-01,A003,Downtime,Brabant Solar C - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2026-01-01,A003,Ramp-up,Brabant Solar C - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2026-01-01,A003,Opex,Brabant Solar C - Opex,-1309,Direct operating cost variance; negative values are adverse.
2026-01-01,A003,Timing/Mix,Brabant Solar C - Timing/Mix,-748,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-01-01,A004,Price,Rotterdam Battery D - Price,87731,Actual realized price versus budgeted realized price.
2026-01-01,A004,Volume,Rotterdam Battery D - Volume,13135,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-01-01,A004,Downtime,Rotterdam Battery D - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2026-01-01,A004,Ramp-up,Rotterdam Battery D - Ramp-up,30648,Battery storage throughput reflects operational ramp-up and dispatch optimization.
2026-01-01,A004,Opex,Rotterdam Battery D - Opex,-18211,Direct operating cost variance; negative values are adverse.
2026-01-01,A004,Timing/Mix,Rotterdam Battery D - Timing/Mix,-2513,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-01-01,A005,Price,Groningen Hydrogen Pilot E - Price,-4817,Actual realized price versus budgeted realized price.
2026-01-01,A005,Volume,Groningen Hydrogen Pilot E - Volume,-45836,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-01-01,A005,Downtime,Groningen Hydrogen Pilot E - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2026-01-01,A005,Ramp-up,Groningen Hydrogen Pilot E - Ramp-up,-106950,Hydrogen pilot ramp-up behind budgeted production curve.
2026-01-01,A005,Opex,Groningen Hydrogen Pilot E - Opex,-149922,Direct operating cost variance; negative values are adverse.
2026-01-01,A005,Timing/Mix,Groningen Hydrogen Pilot E - Timing/Mix,-5703,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-02-01,A001,Price,Noordzee Wind A - Price,-214075,Actual realized price versus budgeted realized price.
2026-02-01,A001,Volume,Noordzee Wind A - Volume,52058,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-02-01,A001,Downtime,Noordzee Wind A - Downtime,-198705,Wind availability below budget due to unplanned maintenance/outage hours.
2026-02-01,A001,Ramp-up,Noordzee Wind A - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2026-02-01,A001,Opex,Noordzee Wind A - Opex,-218415,Direct operating cost variance; negative values are adverse.
2026-02-01,A001,Timing/Mix,Noordzee Wind A - Timing/Mix,-6259,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-02-01,A002,Price,Flevoland Solar B - Price,-10494,Actual realized price versus budgeted realized price.
2026-02-01,A002,Volume,Flevoland Solar B - Volume,18269,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-02-01,A002,Downtime,Flevoland Solar B - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2026-02-01,A002,Ramp-up,Flevoland Solar B - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2026-02-01,A002,Opex,Flevoland Solar B - Opex,-1775,Direct operating cost variance; negative values are adverse.
2026-02-01,A002,Timing/Mix,Flevoland Solar B - Timing/Mix,-1047,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-02-01,A003,Price,Brabant Solar C - Price,-644,Actual realized price versus budgeted realized price.
2026-02-01,A003,Volume,Brabant Solar C - Volume,-1351,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-02-01,A003,Downtime,Brabant Solar C - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2026-02-01,A003,Ramp-up,Brabant Solar C - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2026-02-01,A003,Opex,Brabant Solar C - Opex,-2215,Direct operating cost variance; negative values are adverse.
2026-02-01,A003,Timing/Mix,Brabant Solar C - Timing/Mix,-744,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-02-01,A004,Price,Rotterdam Battery D - Price,7317,Actual realized price versus budgeted realized price.
2026-02-01,A004,Volume,Rotterdam Battery D - Volume,9288,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-02-01,A004,Downtime,Rotterdam Battery D - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2026-02-01,A004,Ramp-up,Rotterdam Battery D - Ramp-up,21671,Battery storage throughput reflects operational ramp-up and dispatch optimization.
2026-02-01,A004,Opex,Rotterdam Battery D - Opex,-18311,Direct operating cost variance; negative values are adverse.
2026-02-01,A004,Timing/Mix,Rotterdam Battery D - Timing/Mix,-2559,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-02-01,A005,Price,Groningen Hydrogen Pilot E - Price,3181,Actual realized price versus budgeted realized price.
2026-02-01,A005,Volume,Groningen Hydrogen Pilot E - Volume,-43832,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-02-01,A005,Downtime,Groningen Hydrogen Pilot E - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2026-02-01,A005,Ramp-up,Groningen Hydrogen Pilot E - Ramp-up,-102275,Hydrogen pilot ramp-up behind budgeted production curve.
2026-02-01,A005,Opex,Groningen Hydrogen Pilot E - Opex,-147500,Direct operating cost variance; negative values are adverse.
2026-02-01,A005,Timing/Mix,Groningen Hydrogen Pilot E - Timing/Mix,-5705,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-03-01,A001,Price,Noordzee Wind A - Price,-130852,Actual realized price versus budgeted realized price.
2026-03-01,A001,Volume,Noordzee Wind A - Volume,38856,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-03-01,A001,Downtime,Noordzee Wind A - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2026-03-01,A001,Ramp-up,Noordzee Wind A - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2026-03-01,A001,Opex,Noordzee Wind A - Opex,-52755,Direct operating cost variance; negative values are adverse.
2026-03-01,A001,Timing/Mix,Noordzee Wind A - Timing/Mix,-5786,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-03-01,A002,Price,Flevoland Solar B - Price,-902,Actual realized price versus budgeted realized price.
2026-03-01,A002,Volume,Flevoland Solar B - Volume,20159,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-03-01,A002,Downtime,Flevoland Solar B - Downtime,-1290,Estimated EBITDA impact from unplanned downtime above budget.
2026-03-01,A002,Ramp-up,Flevoland Solar B - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2026-03-01,A002,Opex,Flevoland Solar B - Opex,-2427,Direct operating cost variance; negative values are adverse.
2026-03-01,A002,Timing/Mix,Flevoland Solar B - Timing/Mix,-1035,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-03-01,A003,Price,Brabant Solar C - Price,-9077,Actual realized price versus budgeted realized price.
2026-03-01,A003,Volume,Brabant Solar C - Volume,5636,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-03-01,A003,Downtime,Brabant Solar C - Downtime,-1445,Estimated EBITDA impact from unplanned downtime above budget.
2026-03-01,A003,Ramp-up,Brabant Solar C - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2026-03-01,A003,Opex,Brabant Solar C - Opex,-2852,Direct operating cost variance; negative values are adverse.
2026-03-01,A003,Timing/Mix,Brabant Solar C - Timing/Mix,-760,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-03-01,A004,Price,Rotterdam Battery D - Price,-16026,Actual realized price versus budgeted realized price.
2026-03-01,A004,Volume,Rotterdam Battery D - Volume,-2405,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-03-01,A004,Downtime,Rotterdam Battery D - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2026-03-01,A004,Ramp-up,Rotterdam Battery D - Ramp-up,-5613,Battery storage throughput reflects operational ramp-up and dispatch optimization.
2026-03-01,A004,Opex,Rotterdam Battery D - Opex,-17974,Direct operating cost variance; negative values are adverse.
2026-03-01,A004,Timing/Mix,Rotterdam Battery D - Timing/Mix,-2545,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-03-01,A005,Price,Groningen Hydrogen Pilot E - Price,-11154,Actual realized price versus budgeted realized price.
2026-03-01,A005,Volume,Groningen Hydrogen Pilot E - Volume,-44590,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-03-01,A005,Downtime,Groningen Hydrogen Pilot E - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2026-03-01,A005,Ramp-up,Groningen Hydrogen Pilot E - Ramp-up,-104043,Hydrogen pilot ramp-up behind budgeted production curve.
2026-03-01,A005,Opex,Groningen Hydrogen Pilot E - Opex,-153929,Direct operating cost variance; negative values are adverse.
2026-03-01,A005,Timing/Mix,Groningen Hydrogen Pilot E - Timing/Mix,-5697,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-04-01,A001,Price,Noordzee Wind A - Price,-80363,Actual realized price versus budgeted realized price.
2026-04-01,A001,Volume,Noordzee Wind A - Volume,-84636,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-04-01,A001,Downtime,Noordzee Wind A - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2026-04-01,A001,Ramp-up,Noordzee Wind A - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2026-04-01,A001,Opex,Noordzee Wind A - Opex,-97785,Direct operating cost variance; negative values are adverse.
2026-04-01,A001,Timing/Mix,Noordzee Wind A - Timing/Mix,-5809,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-04-01,A002,Price,Flevoland Solar B - Price,-16451,Actual realized price versus budgeted realized price.
2026-04-01,A002,Volume,Flevoland Solar B - Volume,31275,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-04-01,A002,Downtime,Flevoland Solar B - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2026-04-01,A002,Ramp-up,Flevoland Solar B - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2026-04-01,A002,Opex,Flevoland Solar B - Opex,-2511,Direct operating cost variance; negative values are adverse.
2026-04-01,A002,Timing/Mix,Flevoland Solar B - Timing/Mix,-1066,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-04-01,A003,Price,Brabant Solar C - Price,1682,Actual realized price versus budgeted realized price.
2026-04-01,A003,Volume,Brabant Solar C - Volume,19783,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-04-01,A003,Downtime,Brabant Solar C - Downtime,-1772,Estimated EBITDA impact from unplanned downtime above budget.
2026-04-01,A003,Ramp-up,Brabant Solar C - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2026-04-01,A003,Opex,Brabant Solar C - Opex,-2953,Direct operating cost variance; negative values are adverse.
2026-04-01,A003,Timing/Mix,Brabant Solar C - Timing/Mix,-755,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-04-01,A004,Price,Rotterdam Battery D - Price,84709,Actual realized price versus budgeted realized price.
2026-04-01,A004,Volume,Rotterdam Battery D - Volume,16859,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-04-01,A004,Downtime,Rotterdam Battery D - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2026-04-01,A004,Ramp-up,Rotterdam Battery D - Ramp-up,39338,Battery storage throughput reflects operational ramp-up and dispatch optimization.
2026-04-01,A004,Opex,Rotterdam Battery D - Opex,-18073,Direct operating cost variance; negative values are adverse.
2026-04-01,A004,Timing/Mix,Rotterdam Battery D - Timing/Mix,-2658,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2026-04-01,A005,Price,Groningen Hydrogen Pilot E - Price,-14143,Actual realized price versus budgeted realized price.
2026-04-01,A005,Volume,Groningen Hydrogen Pilot E - Volume,-39446,Production or throughput variance not separately attributed to downtime or ramp-up.
2026-04-01,A005,Downtime,Groningen Hydrogen Pilot E - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2026-04-01,A005,Ramp-up,Groningen Hydrogen Pilot E - Ramp-up,-92041,Hydrogen pilot ramp-up behind budgeted production curve.
2026-04-01,A005,Opex,Groningen Hydrogen Pilot E - Opex,-154328,Direct operating cost variance; negative values are adverse.
